reg,X,Y,Lon,Lat,clase,band1,band2,band3,band4,band5,band6
241,1026.5,1113.5,-61.67604652,-37.79819347,2,821,1207,1599,2632,3893,2862
241,1195.5,1325.5,-61.61740472,-37.85483932,1,349,736,669,3025,2175,1318
242,1194.5,1324.5,-61.61775069,-37.85457301,1,327,724,589,3228,2066,1141
242,1026.5,1122.5,-61.67600309,-37.80062638,2,774,1123,1502,2451,3804,2808
243,1195.5,1324.5,-61.61740977,-37.854569,1,326,721,595,3164,2069,1192
250,1212.5,1340.5,-61.61153293,-37.85882583,1,167,582,384,3246,1216,596
251,1213.5,1340.5,-61.61119199,-37.8588218,1,150,561,350,3428,1160,558
251,1024.5,1118.5,-61.67670375,-37.79955274,2,830,1169,1571,2591,4029,3024
252,1213.5,1341.5,-61.61118691,-37.85909212,1,166,582,406,3193,1213,615
253,1213.5,1343.5,-61.61117677,-37.85963275,1,167,576,382,3178,1164,579
253,1023.5,1115.5,-61.67705889,-37.7987456,2,790,1160,1559,2548,3921,2828
254,1210.5,1342.5,-61.61220468,-37.85937449,1,175,558,416,2864,1192,636
255,1209.5,1342.5,-61.61254562,-37.85937851,1,160,550,384,3075,1153,579
255,1022.5,1111.5,-61.67741885,-37.79766813,2,783,1140,1520,2481,3728,2815
256,1209.5,1341.5,-61.61255069,-37.8591082,1,144,568,366,3243,1140,549
263,1020.5,1120.5,-61.67805683,-37.80010869,2,736,1067,1421,2370,3600,2717
263,1088.5,1189.5,-61.65455213,-37.81849858,1,164,526,319,3657,1193,574
264,1020.5,1119.5,-61.67806165,-37.79983837,2,752,1067,1439,2340,3597,2721
264,1086.5,1189.5,-61.65523366,-37.81850636,1,171,553,375,3411,1253,626
265,1084.5,1189.5,-61.65591519,-37.81851414,1,151,494,304,3709,1182,565
266,1083.5,1189.5,-61.65625595,-37.81851803,1,149,464,277,3751,1138,539
266,1019.5,1109.5,-61.6784505,-37.79713895,2,673,975,1258,2215,3351,2568
267,1083.5,1188.5,-61.65626085,-37.81824771,1,155,473,268,3834,1152,537
267,1019.5,1115.5,-61.6784216,-37.79876089,2,813,1172,1580,2569,3923,2863
268,1083.5,1187.5,-61.65626575,-37.81797739,1,159,498,302,3538,1166,571
275,1018.5,1118.5,-61.67874783,-37.79957569,2,803,1150,1552,2509,3871,2854
275,1091.5,1190.5,-61.65352493,-37.81875722,1,165,517,366,3314,1189,600
276,1225.5,1355.5,-61.60702435,-37.86282817,1,203,407,260,3875,1268,598
277,1017.5,1160.5,-61.67888623,-37.81093311,2,747,1060,1431,2453,3604,2966
277,1224.5,1355.5,-61.60736531,-37.8628322,1,199,403,243,4059,1267,583
278,1224.5,1354.5,-61.6073704,-37.86256189,1,200,409,261,3912,1265,602
279,1225.5,1354.5,-61.60702944,-37.86255785,1,201,408,263,3832,1271,602
280,1226.5,1354.5,-61.60668848,-37.86255382,1,203,426,298,3602,1334,660
281,1227.5,1355.5,-61.60634243,-37.8628201,1,194,410,255,3725,1272,611
281,1014.5,1166.5,-61.67987955,-37.81256652,2,712,1005,1363,2345,3608,3062
287,1013.5,1114.5,-61.68047046,-37.79851349,2,866,1226,1641,2675,4055,2960
288,1228.5,1352.5,-61.60601675,-37.86200512,1,182,405,270,3635,1264,606
289,1228.5,1351.5,-61.60602184,-37.86173481,1,207,434,342,3349,1393,752
289,1012.5,1162.5,-61.68058027,-37.81149286,2,720,1017,1387,2391,3646,3038
290,1229.5,1351.5,-61.60568088,-37.86173077,1,195,428,328,3279,1385,719
291,1225.5,1334.5,-61.6071312,-37.85715159,1,266,540,423,2922,1624,916
291,1012.5,1172.5,-61.68053216,-37.8141961,2,709,1017,1368,2394,3694,3154
292,1226.5,1334.5,-61.60679027,-37.85714755,1,263,544,421,2981,1626,907
293,1226.5,1333.5,-61.60679536,-37.85687724,1,252,544,404,3184,1619,861
294,1225.5,1333.5,-61.60713629,-37.85688127,1,256,549,410,3131,1628,869
301,1010.5,1161.5,-61.68126655,-37.81123017,2,727,1023,1390,2397,3686,3064
301,1230.5,1336.5,-61.60541634,-37.85767203,1,269,551,444,3083,1778,1001
302,1010.5,1168.5,-61.68123289,-37.81312243,2,679,952,1281,2282,3430,2962
302,1230.5,1337.5,-61.60541125,-37.85794235,1,278,559,434,3061,1783,995
303,1010.5,1167.5,-61.6812377,-37.81285211,2,660,932,1271,2222,3389,2919
303,1230.5,1339.5,-61.60540106,-37.85848297,1,258,544,371,3564,1634,835
304,1229.5,1339.5,-61.605742,-37.85848701,1,269,552,415,3128,1634,884
305,1228.5,1339.5,-61.60608294,-37.85849105,1,265,523,423,2965,1555,877
306,1009.5,1156.5,-61.68163132,-37.80988236,2,703,982,1335,2331,3603,3015
306,1006.5,1160.5,-61.68263429,-37.8109751,2,712,998,1363,2371,3585,3005
312,1008.5,1160.5,-61.68195282,-37.81096747,2,737,1033,1400,2437,3706,3070
313,1007.5,1164.5,-61.68227434,-37.81205258,2,662,937,1269,2226,3353,2856
313,1008.5,1163.5,-61.68193841,-37.81177844,2,722,1016,1375,2386,3668,3040
314,1007.5,1168.5,-61.68225512,-37.81313388,2,621,884,1208,2170,3073,2692
314,1008.5,1164.5,-61.6819336,-37.81204877,2,702,986,1324,2318,3483,2966
315,1008.5,1155.5,-61.68197685,-37.80961585,2,694,977,1319,2326,3560,2953
315,1007.5,1167.5,-61.68225992,-37.81286355,2,600,869,1179,2106,3085,2680
316,1009.5,1157.5,-61.68162651,-37.81015269,2,708,997,1345,2358,3621,3013
317,1009.5,1157.5,-61.68162651,-37.81015269,2,708,997,1345,2358,3621,3013
318,1009.5,1164.5,-61.68159286,-37.81204495,2,718,1009,1365,2366,3542,2995
324,1010.5,1156.5,-61.68129059,-37.80987855,2,710,1022,1376,2388,3702,3049
325,1011.5,1158.5,-61.68094025,-37.81041538,2,746,1063,1439,2482,3738,3047
326,1011.5,1157.5,-61.68094506,-37.81014506,2,753,1060,1434,2466,3728,3057
327,1011.5,1164.5,-61.68091139,-37.81203732,2,712,1003,1368,2361,3620,3039
328,1004.5,1158.5,-61.68332536,-37.81044207,2,651,932,1290,2199,3318,2826
328,1011.5,1156.5,-61.68094987,-37.80987473,2,743,1044,1418,2432,3699,3042
329,1012.5,1159.5,-61.68059471,-37.81068189,2,735,1050,1411,2429,3641,3021
330,1004.5,1166.5,-61.68328695,-37.81260466,2,595,866,1141,2063,3027,2617
330,1012.5,1162.5,-61.68058027,-37.81149286,2,720,1017,1387,2391,3646,3038
331,1004.5,1167.5,-61.68328215,-37.81287498,2,549,785,1060,1900,2821,2458
337,1013.5,1166.5,-61.68022029,-37.81257034,2,714,1016,1370,2373,3644,3079
338,1003.5,1165.5,-61.68363249,-37.81233814,2,590,839,1141,2035,2901,2563
338,1014.5,1155.5,-61.6799325,-37.80959296,2,732,1040,1406,2415,3616,2928
339,1014.5,1156.5,-61.67992768,-37.80986328,2,728,1050,1405,2425,3625,2942
340,1003.5,1170.5,-61.68360849,-37.81368977,2,548,786,1063,1923,2716,2401
340,1014.5,1161.5,-61.67990362,-37.8112149,2,756,1074,1454,2460,3681,3037
341,1002.5,1162.5,-61.68398762,-37.81153098,2,683,978,1313,2304,3393,2877
341,1014.5,1164.5,-61.67988918,-37.81202587,2,699,1002,1347,2358,3584,3036
342,1002.5,1161.5,-61.68399242,-37.81126066,2,686,965,1307,2283,3354,2828
342,1014.5,1167.5,-61.67987473,-37.81283684,2,702,998,1339,2306,3563,3042
348,1015.5,1158.5,-61.67957733,-37.81040011,2,719,1030,1386,2388,3577,2943
349,1015.5,1160.5,-61.6795677,-37.81094076,2,728,1044,1413,2423,3570,2960
349,1000.5,1167.5,-61.68464511,-37.81289021,2,712,961,1292,2298,3439,2859
350,1015.5,1160.5,-61.6795677,-37.81094076,2,728,1044,1413,2423,3570,2960
350,1000.5,1165.5,-61.68465471,-37.81234957,2,660,955,1279,2261,3419,2856
351,1015.5,1154.5,-61.67959659,-37.80931881,2,732,1031,1394,2403,3599,2931
351,1000.5,1165.5,-61.68465471,-37.81234957,2,660,955,1279,2261,3419,2856
352,1000.5,1162.5,-61.6846691,-37.81153859,2,613,865,1182,2091,3071,2644
352,1015.5,1164.5,-61.67954844,-37.81202205,2,698,991,1330,2324,3556,3028
353,999.5,1164.5,-61.68500024,-37.81208305,2,610,878,1169,2098,3198,2680
359,1016.5,1155.5,-61.67925105,-37.80958532,2,744,1066,1430,2439,3612,2955
360,1016.5,1154.5,-61.67925586,-37.80931499,2,734,1047,1407,2406,3594,2952
361,1016.5,1163.5,-61.67921252,-37.81174791,2,710,1014,1355,2360,3536,3004
362,1016.5,1167.5,-61.67919325,-37.8128292,2,714,1014,1364,2355,3583,3048
363,1016.5,1166.5,-61.67919807,-37.81255888,2,705,994,1339,2327,3566,3031
364,1016.5,1141.5,-61.67931846,-37.80580078,2,703,1000,1339,2310,3478,2934
365,1017.5,1114.5,-61.67910776,-37.79849821,2,832,1187,1599,2613,4038,2928
366,1017.5,1118.5,-61.67908851,-37.79957951,2,824,1183,1592,2583,4013,2896
367,1017.5,1117.5,-61.67909332,-37.79930919,2,837,1204,1630,2620,4076,2933
368,1017.5,1110.5,-61.67912702,-37.79741692,2,696,1000,1308,2280,3442,2582
378,1017.5,1151.5,-61.67892959,-37.8085002,2,701,1022,1362,2328,3480,2847
379,1017.5,1149.5,-61.67893922,-37.80795955,2,694,979,1314,2273,3412,2851
380,1017.5,1144.5,-61.6789633,-37.80660793,2,718,1009,1373,2342,3577,2964
381,1018.5,1115.5,-61.67876227,-37.79876472,2,826,1191,1598,2618,3992,2891
382,1018.5,1117.5,-61.67875264,-37.79930536,2,840,1211,1631,2617,4028,2916
383,1018.5,1110.5,-61.67878635,-37.79741309,2,704,973,1288,2256,3361,2591
384,1018.5,1109.5,-61.67879117,-37.79714277,2,658,935,1230,2152,3239,2524
385,1018.5,1162.5,-61.67853586,-37.81146994,2,702,997,1342,2319,3528,2979
386,1018.5,1153.5,-61.67857923,-37.80903703,2,746,1055,1422,2413,3581,2939
387,1018.5,1152.5,-61.67858405,-37.8087667,2,736,1049,1416,2407,3568,2939
397,1019.5,1112.5,-61.67843605,-37.79794992,2,827,1196,1594,2619,3955,2911
398,1019.5,1109.5,-61.6784505,-37.79713895,2,673,975,1258,2215,3351,2568
399,1019.5,1110.5,-61.67844568,-37.79740927,2,727,1032,1391,2342,3577,2729
400,1019.5,1162.5,-61.67819513,-37.81146612,2,686,963,1291,2250,3404,2924
401,1019.5,1161.5,-61.67819995,-37.81119579,2,692,975,1318,2271,3409,2927
402,1019.5,1160.5,-61.67820477,-37.81092547,2,698,993,1333,2299,3435,2930
403,1019.5,1159.5,-61.67820959,-37.81065514,2,722,1031,1390,2379,3504,2922
404,1019.5,1165.5,-61.67818067,-37.81227709,2,709,1004,1348,2335,3547,2987
405,1019.5,1156.5,-61.67822405,-37.80984417,2,748,1071,1430,2422,3585,2964
406,1019.5,1157.5,-61.67821923,-37.8101145,2,747,1066,1448,2417,3566,2958
416,1020.5,1109.5,-61.67810983,-37.79713513,2,729,1043,1336,2338,3530,2711
417,1020.5,1110.5,-61.67810501,-37.79740545,2,773,1112,1490,2439,3696,2795
418,1020.5,1158.5,-61.67787368,-37.810381,2,746,1054,1430,2415,3599,2975
419,1020.5,1155.5,-61.67788814,-37.80957003,2,763,1089,1475,2455,3594,2951
420,1020.5,1148.5,-61.67792189,-37.80767776,2,717,996,1353,2302,3404,2859
421,1020.5,1146.5,-61.67793153,-37.80713711,2,705,1000,1339,2312,3516,2906
422,1020.5,1145.5,-61.67793635,-37.80686679,2,702,983,1322,2279,3503,2931
423,1020.5,1142.5,-61.67795081,-37.80605582,2,691,981,1322,2254,3373,2849
424,1021.5,1150.5,-61.67757153,-37.80821458,2,732,1042,1412,2370,3477,2916
425,1021.5,1115.5,-61.67774025,-37.79875325,2,812,1171,1574,2575,3918,2848
435,1021.5,1148.5,-61.67758117,-37.80767394,2,722,1023,1377,2328,3451,2869
436,1021.5,1148.5,-61.67758117,-37.80767394,2,722,1023,1377,2328,3451,2869
437,1022.5,1146.5,-61.6772501,-37.80712946,2,715,1018,1366,2330,3494,2858
438,1022.5,1151.5,-61.67722598,-37.80848108,2,745,1067,1441,2385,3491,2904
439,1022.5,1123.5,-61.677361,-37.80091202,2,833,1213,1637,2662,4004,2874
440,1022.5,1124.5,-61.67735618,-37.80118234,2,836,1221,1652,2685,4030,2886
441,1022.5,1109.5,-61.67742849,-37.79712748,2,710,1069,1425,2428,3600,2691
442,1022.5,1110.5,-61.67742367,-37.7973978,2,758,1124,1493,2442,3700,2788
443,1022.5,1112.5,-61.67741403,-37.79793845,2,773,1105,1469,2428,3648,2758
444,1022.5,1157.5,-61.67719704,-37.81010302,2,754,1074,1441,2445,3571,2914
454,1023.5,1108.5,-61.67709265,-37.79685333,2,702,1094,1350,2595,3672,2657
455,1023.5,1111.5,-61.67707818,-37.7976643,2,824,1212,1620,2645,3980,2903
456,1023.5,1110.5,-61.677083,-37.79739398,2,817,1209,1609,2663,3948,2850
457,1023.5,1112.5,-61.67707336,-37.79793463,2,804,1187,1592,2595,3890,2865
458,1023.5,1159.5,-61.67684667,-37.81063984,2,747,1070,1429,2428,3589,2939
459,1023.5,1157.5,-61.67685632,-37.81009919,2,751,1066,1429,2429,3563,2939
460,1023.5,1157.5,-61.67685632,-37.81009919,2,751,1066,1429,2429,3563,2939
461,1023.5,1154.5,-61.67687079,-37.80928822,2,740,1047,1409,2387,3468,2898
462,1023.5,1153.5,-61.67687561,-37.8090179,2,744,1074,1446,2411,3515,2924
463,1023.5,1149.5,-61.67689491,-37.80793661,2,735,1041,1412,2371,3469,2870
473,1024.5,1159.5,-61.67650594,-37.81063601,2,745,1064,1418,2421,3584,2949
474,1024.5,1156.5,-61.67652041,-37.80982504,2,739,1057,1420,2392,3554,2919
475,1024.5,1156.5,-61.67652041,-37.80982504,2,739,1057,1420,2392,3554,2919
476,1024.5,1151.5,-61.67654454,-37.80847343,2,753,1069,1443,2399,3481,2912
477,1024.5,1150.5,-61.67654937,-37.8082031,2,745,1062,1431,2375,3455,2900
478,1024.5,1150.5,-61.67654937,-37.8082031,2,745,1062,1431,2375,3455,2900
479,1025.5,1122.5,-61.67634377,-37.80063021,2,812,1134,1533,2473,3840,2824
480,1025.5,1126.5,-61.67632447,-37.80171151,2,797,1150,1544,2581,3912,2819
481,1025.5,1112.5,-61.67639202,-37.79792697,2,826,1197,1594,2607,3883,2840
482,1025.5,1113.5,-61.67638719,-37.7981973,2,818,1198,1610,2624,3927,2824
492,1026.5,1126.5,-61.67598378,-37.80170768,2,748,1091,1453,2490,3769,2721
493,1026.5,1147.5,-61.67588241,-37.80738447,2,750,1069,1436,2427,3527,2852
494,1026.5,1145.5,-61.67589207,-37.80684383,2,749,1055,1423,2433,3566,2906
495,1026.5,1145.5,-61.67589207,-37.80684383,2,749,1055,1423,2433,3566,2906
496,1027.5,1148.5,-61.67553687,-37.80765097,2,713,1014,1357,2323,3424,2807
497,1027.5,1148.5,-61.67553687,-37.80765097,2,713,1014,1357,2323,3424,2807
498,1027.5,1126.5,-61.67564309,-37.80170385,2,782,1130,1485,2542,3898,2804
499,1027.5,1120.5,-61.67567206,-37.8000819,2,789,1135,1535,2470,3877,2861
500,1027.5,1119.5,-61.67567688,-37.79981158,2,844,1238,1656,2670,4063,2962
501,1027.5,1146.5,-61.67554653,-37.80711032,2,748,1066,1438,2445,3552,2887
511,1029.5,1146.5,-61.6748651,-37.80710265,2,722,1030,1385,2367,3441,2804
512,1029.5,1119.5,-61.67499552,-37.79980392,2,821,1197,1612,2624,3931,2839
513,1029.5,1119.5,-61.67499552,-37.79980392,2,821,1197,1612,2624,3931,2839
514,1029.5,1120.5,-61.67499069,-37.80007424,2,765,1126,1503,2546,3750,2753
515,1029.5,1118.5,-61.67500035,-37.79953359,2,843,1232,1631,2669,3946,2904
516,1029.5,1118.5,-61.67500035,-37.79953359,2,843,1232,1631,2669,3946,2904
517,1030.5,1120.5,-61.67465001,-37.80007041,2,774,1149,1521,2550,3797,2762
518,1030.5,1119.5,-61.67465484,-37.79980009,2,796,1186,1574,2612,3907,2816
519,1030.5,1119.5,-61.67465484,-37.79980009,2,796,1186,1574,2612,3907,2816
520,1030.5,1118.5,-61.67465967,-37.79952976,2,845,1214,1621,2665,3900,2839
530,1036.5,1150.5,-61.67246074,-37.80815709,2,733,1035,1378,2318,3308,2764
531,1036.5,1149.5,-61.67246558,-37.80788677,2,736,1009,1347,2316,3243,2772
